title,year,rating,actors,duration,url
The Thin Man,1934,8.0,"['William Powell', ' Myrna Loy', ' Maureen OSullivan', ' Nat Pendleton']",91,https://www.imdb.com/title/tt0025878/
The Gay Divorcee,1934,7.5,"['Fred Astaire', ' Ginger Rogers', ' Alice Brady', ' Edward Everett Horton']",107,https://www.imdb.com/title/tt0025164/
L'Atalante,1934,7.8,"['Dita Parlo', ' Jean Dasté', ' Gilles Margaritis', ' Louis Lefebvre']",89,https://www.imdb.com/title/tt0024844/
Tsarina van Rusland,1934,7.6,"['Marlene Dietrich', ' John Lodge', ' Sam Jaffe', ' Louise Dresser']",104,https://www.imdb.com/title/tt0025746/
The Informer,1935,7.4,"['Victor McLaglen', ' Heather Angel', ' Preston Foster', ' Margot Grahame']",91,https://www.imdb.com/title/tt0026529/
Kapitein Blood,1935,7.7,"['Errol Flynn', ' Olivia de Havilland', ' Lionel Atwill', ' Basil Rathbone']",119,https://www.imdb.com/title/tt0026174/
Bride of Frankenstein,1935,7.8,"['Boris Karloff', ' Elsa Lanchester', ' Colin Clive', ' Valerie Hobson']",75,https://www.imdb.com/title/tt0026138/
Het complot der 39 stappen,1935,7.6,"['Robert Donat', ' Madeleine Carroll', ' Lucie Mannheim', ' Godfrey Tearle']",86,https://www.imdb.com/title/tt0026029/
A Night at the Opera,1935,7.9,"['Groucho Marx', ' Chico Marx', ' Harpo Marx', ' Kitty Carlisle']",96,https://www.imdb.com/title/tt0026778/
Mad Love,1935,7.3,"['Peter Lorre', ' Frances Drake', ' Colin Clive', ' Ted Healy']",68,https://www.imdb.com/title/tt0026663/
Mutiny on the Bounty,1935,7.7,"['Charles Laughton', ' Clark Gable', ' Franchot Tone', ' Herbert Mundin']",132,https://www.imdb.com/title/tt0026752/
Top Hat,1935,7.8,"['Fred Astaire', ' Ginger Rogers', ' Edward Everett Horton', ' Erik Rhodes']",101,https://www.imdb.com/title/tt0027125/
A Tale of Two Cities,1935,7.8,"['Ronald Colman', ' Elizabeth Allan', ' Edna May Oliver', ' Reginald Owen']",128,https://www.imdb.com/title/tt0027075/
Dodsworth,1936,7.8,"['Walter Huston', ' Ruth Chatterton', ' Paul Lukas', ' Mary Astor']",101,https://www.imdb.com/title/tt0027532/
Vlammende harten,1936,7.6,"['Leslie Howard', ' Humphrey Bogart', ' Bette Davis', ' Genevieve Tobin']",82,https://www.imdb.com/title/tt0028096/
De danskoning,1936,7.6,"['Fred Astaire', ' Ginger Rogers', ' Victor Moore', ' Helen Broderick']",103,https://www.imdb.com/title/tt0028333/
Mr. Deeds Goes to Town,1936,7.9,"['Gary Cooper', ' Jean Arthur', ' George Bancroft', ' Lionel Stander']",115,https://www.imdb.com/title/tt0027996/
