title,rating,year,actors,languages,duration,url
Lost Horizon,7.7,1937,"['Ronald Colman', ' Jane Wyatt', ' Edward Everett Horton', ' John Howard']","['English', 'Mandarin']",132,https://www.imdb.com/title/tt0029162/
Dead End,7.3,1937,"['Sylvia Sidney', ' Joel McCrea', ' Humphrey Bogart', ' Wendy Barrie']",['English'],93,https://www.imdb.com/title/tt0028773/
De stormduivels,8.0,1937,"['Spencer Tracy', ' Freddie Bartholomew', ' Lionel Barrymore', ' Melvyn Douglas']","['English', 'Portuguese']",117,https://www.imdb.com/title/tt0028691/
Die verduivelde waarheid,7.7,1937,"['Irene Dunne', ' Cary Grant', ' Ralph Bellamy', ' Alexander DArcy']","['English', 'French', 'Italian']",90,https://www.imdb.com/title/tt0028597/
The Adventures of Robin Hood,7.9,1938,"['Errol Flynn', ' Olivia de Havilland', ' Basil Rathbone', ' Claude Rains']",['English'],102,https://www.imdb.com/title/tt0029843/
Het dierlijke in de mens,7.6,1938,"['Jean Gabin', ' Julien Carette', ' Simone Simon', ' Fernand Ledoux']",['French'],100,https://www.imdb.com/title/tt0029957/
Engelen met smerige gezichten,7.9,1938,"['James Cagney', ' Pat OBrien', ' Humphrey Bogart', ' Ann Sheridan']",['English'],97,https://www.imdb.com/title/tt0029870/
Bringing Up Baby,7.9,1938,"['Katharine Hepburn', ' Cary Grant', ' Charles Ruggles', ' Walter Catlett']",['English'],102,https://www.imdb.com/title/tt0029947/
You Can't Take It with You,7.9,1938,"['Jean Arthur', ' James Stewart', ' Lionel Barrymore', ' Edward Arnold']","['English', 'Russian']",126,https://www.imdb.com/title/tt0030993/
De hond van de Baskervilles,7.5,1939,"['Basil Rathbone', ' Nigel Bruce', ' Richard Greene', ' Wendy Barrie']",['English'],80,https://www.imdb.com/title/tt0031448/
Gunga Din,7.3,1939,"['Cary Grant', ' Joan Fontaine', ' Victor McLaglen', ' Douglas Fairbanks Jr']",['English'],117,https://www.imdb.com/title/tt0031398/
Stagecoach,7.9,1939,"['John Wayne', ' Claire Trevor', ' Andy Devine', ' John Carradine']","['English', 'Spanish', 'French']",96,https://www.imdb.com/title/tt0031971/
Schaduwen uit het verleden,7.9,1939,"['James Cagney', ' Humphrey Bogart', ' Priscilla Lane', ' Gladys George']",['English'],106,https://www.imdb.com/title/tt0031867/
Of Mice and Men,7.9,1939,"['Lon Chaney Jr', ' Burgess Meredith', ' Betty Field', ' Charles Bickford']",['English'],106,https://www.imdb.com/title/tt0031742/
Waterloo Bridge,7.8,1940,"['Vivien Leigh', ' Robert Taylor', ' Lucile Watson', ' Virginia Field']","['English', 'French']",108,https://www.imdb.com/title/tt0033238/
De bronzen godin,7.9,1940,"['Cary Grant', ' Katharine Hepburn', ' James Stewart', ' Ruth Hussey']","['English', 'French']",112,https://www.imdb.com/title/tt0032904/
Zeehavik,7.7,1940,"['Errol Flynn', ' Brenda Marshall', ' Claude Rains', ' Donald Crisp']",['English'],127,https://www.imdb.com/title/tt0033028/
Fantasia,7.7,1940,"['Leopold Stokowski', ' Deems Taylor', ' The Philadelphia Orchestra', ' Corey Burton']",['English'],125,https://www.imdb.com/title/tt0032455/
Tweestrijd der gevoelens,7.4,1940,"['Greer Garson', ' Laurence Olivier', ' Mary Boland', ' Edna May Oliver']",['English'],118,https://www.imdb.com/title/tt0032943/
Here Comes Mr. Jordan,7.6,1941,"['Robert Montgomery', ' Claude Rains', ' Evelyn Keyes', ' Rita Johnson']",['English'],94,https://www.imdb.com/title/tt0033712/
Argwaan,7.4,1941,"['Cary Grant', ' Joan Fontaine', ' Cedric Hardwicke', ' Nigel Bruce']",['English'],99,https://www.imdb.com/title/tt0034248/
"John Doe, de man die het meende",7.6,1941,"['Gary Cooper', ' Barbara Stanwyck', ' Edward Arnold', ' Walter Brennan']",['English'],135,https://www.imdb.com/title/tt0033891/
How Green Was My Valley,7.7,1941,"['Walter Pidgeon', ' Maureen OHara', ' Anna Lee', ' Donald Crisp']","['English', 'Welsh']",118,https://www.imdb.com/title/tt0033729/
Acht professoren en een meisje,7.8,1941,"['Gary Cooper', ' Barbara Stanwyck', ' Oskar Homolka', ' Henry Travers']",['English'],111,https://www.imdb.com/title/tt0033373/
Spionnage in het spel,8.2,1942,"['Carole Lombard', ' Jack Benny', ' Robert Stack', ' Felix Bressart']","['English', 'German']",99,https://www.imdb.com/title/tt0035446/
Gevangenen van 't verleden,8.0,1942,"['Ronald Colman', ' Greer Garson', ' Philip Dorn', ' Susan Peters']",['English'],126,https://www.imdb.com/title/tt0035238/
"Now, Voyager",7.9,1942,"['Bette Davis', ' Paul Henreid', ' Claude Rains', ' Gladys Cooper']","['English', 'Portuguese']",117,https://www.imdb.com/title/tt0035140/
Het gesprek van de stad,7.5,1942,"['Cary Grant', ' Jean Arthur', ' Ronald Colman', ' Edgar Buchanan']",['English'],118,https://www.imdb.com/title/tt0035417/
The Palm Beach Story,7.5,1942,"['Claudette Colbert', ' Joel McCrea', ' Mary Astor', ' Rudy Vallee']",['English'],88,https://www.imdb.com/title/tt0035169/
Shadow of a Doubt,7.8,1943,"['Teresa Wright', ' Joseph Cotten', ' Macdonald Carey', ' Henry Travers']",['English'],108,https://www.imdb.com/title/tt0036342/
Arsenicum en oude kant,8.0,1943,"['Cary Grant', ' Priscilla Lane', ' Raymond Massey', ' Jack Carson']","['English', 'German']",118,https://www.imdb.com/title/tt0036613/
The Miracle of Morgan's Creek,7.6,1943,"['Eddie Bracken', ' Betty Hutton', ' Diana Lynn', ' William Demarest']",['English'],98,https://www.imdb.com/title/tt0037077/
Jane Eyre,7.5,1943,"['Orson Welles', ' Joan Fontaine', ' Margaret OBrien', ' Peggy Ann Garner']",['English'],97,https://www.imdb.com/title/tt0036969/
Hoe meer hoe liever,7.7,1943,"['Jean Arthur', ' Joel McCrea', ' Charles Coburn', ' Richard Gaines']",['English'],104,https://www.imdb.com/title/tt0036172/
Moord onder vier ogen,7.6,1944,"['Dick Powell', ' Claire Trevor', ' Anne Shirley', ' Otto Kruger']",['English'],95,https://www.imdb.com/title/tt0037101/
The Thin Man Goes Home,7.4,1944,"['William Powell', ' Myrna Loy', ' Lucile Watson', ' Gloria DeHaven']",['English'],100,https://www.imdb.com/title/tt0037365/
Gaslight,7.8,1944,"['Charles Boyer', ' Ingrid Bergman', ' Joseph Cotten', ' May Whitty']","['English', 'Italian']",114,https://www.imdb.com/title/tt0036855/
Avontuur op Martinique,7.8,1944,"['Humphrey Bogart', ' Lauren Bacall', ' Walter Brennan', ' Dolores Moran']","['English', 'French']",100,https://www.imdb.com/title/tt0037382/
Ivan Groznyy,7.8,1944,"['Nikolay Cherkasov', ' Lyudmila Tselikovskaya', ' Serafima Birman', ' Mikhail Nazvanov']",['Russian'],103,https://www.imdb.com/title/tt0037824/
Christmas in Connecticut,7.4,1945,"['Barbara Stanwyck', ' Dennis Morgan', ' Sydney Greenstreet', ' Reginald Gardiner']","['English', 'German']",101,https://www.imdb.com/title/tt0037595/
Roma città aperta,8.1,1945,"['Anna Magnani', ' Aldo Fabrizi', ' Marcello Pagliero', ' Vito Annichiarico']","['Italian', 'German', 'Latin']",103,https://www.imdb.com/title/tt0038890/
Dead of Night,7.6,1945,"['Mervyn Johns', ' Michael Redgrave', ' Roland Culver', ' Mary Merrall']","['English', 'French']",103,https://www.imdb.com/title/tt0037635/
Leave Her to Heaven,7.6,1945,"['Gene Tierney', ' Cornel Wilde', ' Jeanne Crain', ' Vincent Price']",['English'],110,https://www.imdb.com/title/tt0037865/
And Then There Were None,7.5,1945,"['Barry Fitzgerald', ' Walter Huston', ' Louis Hayward', ' Roland Young']",['English'],97,https://www.imdb.com/title/tt0037515/
La belle et la bête,7.9,1946,"['Jean Marais', ' Josette Day', ' Mila Parély', ' Nane Germon']",['French'],96,https://www.imdb.com/title/tt0038348/
Notorious,8.0,1946,"['Cary Grant', ' Ingrid Bergman', ' Claude Rains', ' Louis Calhern']","['English', 'French', 'Portuguese']",102,https://www.imdb.com/title/tt0038787/
De schoenpoetsertjes,8.0,1946,"['Rinaldo Smordoni', ' Franco Interlenghi', ' Annielo Mele', ' Bruno Ortensi']","['Italian', 'English']",87,https://www.imdb.com/title/tt0038913/
The Strange Love of Martha Ivers,7.4,1946,"['Barbara Stanwyck', ' Van Heflin', ' Lizabeth Scott', ' Kirk Douglas']",['English'],116,https://www.imdb.com/title/tt0038988/
Paisà,7.7,1946,"['Carmela Sazio', ' Gar Moore', ' William Tubbs', ' Robert Van Loon']","['Italian', 'English', 'German', 'Sicilian', 'Latin']",126,https://www.imdb.com/title/tt0038823/
The Lady from Shanghai,7.6,1947,"['Rita Hayworth', ' Orson Welles', ' Everett Sloane', ' Glenn Anders']","['English', 'Cantonese']",87,https://www.imdb.com/title/tt0040525/
The Bishop's Wife,7.6,1947,"['Cary Grant', ' Loretta Young', ' David Niven', ' Monty Woolley']","['English', 'French']",109,https://www.imdb.com/title/tt0039190/
Wet zonder recht,7.6,1947,"['Burt Lancaster', ' Hume Cronyn', ' Charles Bickford', ' Yvonne De Carlo']",['English'],98,https://www.imdb.com/title/tt0039224/
De straat der verloren zielen,7.8,1947,"['Tyrone Power', ' Joan Blondell', ' Coleen Gray', ' Helen Walker']",['English'],110,https://www.imdb.com/title/tt0039661/
Miracle on 34th Street,7.9,1947,"['Edmund Gwenn', ' Maureen OHara', ' John Payne', ' Gene Lockhart']","['English', 'Dutch']",96,https://www.imdb.com/title/tt0039628/
The Red Shoes,8.1,1948,"['Anton Walbrook', ' Marius Goring', ' Moira Shearer', ' Robert Helpmann']","['English', 'French', 'Russian']",135,https://www.imdb.com/title/tt0040725/
I Remember Mama,7.9,1948,"['Irene Dunne', ' Barbara Bel Geddes', ' Oskar Homolka', ' Philip Dorn']","['English', 'Norwegian', 'Latin', 'French']",134,https://www.imdb.com/title/tt0040458/
Ladri di biciclette,8.3,1948,"['Lamberto Maggiorani', ' Enzo Staiola', ' Lianella Carell', ' Elena Altieri']","['Italian', 'English', 'German']",89,https://www.imdb.com/title/tt0040522/
The Treasure of the Sierra Madre,8.2,1948,"['Humphrey Bogart', ' Walter Huston', ' Tim Holt', ' Bruce Bennett']","['English', 'Spanish']",126,https://www.imdb.com/title/tt0040897/
Rope,8.0,1948,"['James Stewart', ' John Dall', ' Farley Granger', ' Dick Hogan']",['English'],80,https://www.imdb.com/title/tt0040746/
Little Women,7.3,1949,"['June Allyson', ' Peter Lawford', ' Margaret OBrien', ' Elizabeth Taylor']","['English', 'German']",122,https://www.imdb.com/title/tt0041594/
De heldhaftige stormloop,7.3,1949,"['John Wayne', ' Joanne Dru', ' John Agar', ' Ben Johnson']",['English'],104,https://www.imdb.com/title/tt0041866/
Kind Hearts and Coronets,8.0,1949,"['Dennis Price', ' Alec Guinness', ' Valerie Hobson', ' Joan Greenwood']",['English'],106,https://www.imdb.com/title/tt0041546/
Het is feest vandaag,7.3,1949,"['Jacques Tati', ' Guy Decomble', ' Paul Frankeur', ' Santa Relli']",['French'],70,https://www.imdb.com/title/tt0040497/
Adam's Rib,7.5,1949,"['Spencer Tracy', ' Katharine Hepburn', ' Judy Holliday', ' Tom Ewell']",['English'],101,https://www.imdb.com/title/tt0041090/
Geschonden glorie,7.7,1950,"['Gregory Peck', ' Helen Westcott', ' Millard Mitchell', ' Jean Parker']",['English'],85,https://www.imdb.com/title/tt0042531/
Paniek op straat,7.3,1950,"['Richard Widmark', ' Paul Douglas', ' Barbara Bel Geddes', ' Jack Palance']","['English', 'Mandarin', 'Greek']",96,https://www.imdb.com/title/tt0042832/
Born Yesterday,7.6,1950,"['Judy Holliday', ' William Holden', ' Broderick Crawford', ' Howard St John']",['English'],103,https://www.imdb.com/title/tt0042276/
Winchester '73,7.6,1950,"['James Stewart', ' Shelley Winters', ' Dan Duryea', ' Stephen McNally']",['English'],92,https://www.imdb.com/title/tt0043137/
Gun Crazy,7.6,1950,"['John Dall', ' Peggy Cummins', ' Berry Kroeger', ' Morris Carnovsky']",['English'],87,https://www.imdb.com/title/tt0042530/
Toen stond de aarde stil,7.7,1951,"['Michael Rennie', ' Patricia Neal', ' Hugh Marlowe', ' Sam Jaffe']","['English', 'French', 'Hindi', 'Russian']",92,https://www.imdb.com/title/tt0043456/
Sommarlek,7.5,1951,"['MajBritt Nilsson', ' Birger Malmsten', ' Alf Kjellin', ' Annalisa Ericson']",['Swedish'],96,https://www.imdb.com/title/tt0044060/
The River,7.5,1951,"['Patricia Walters', ' Nora Swinburne', ' Esmond Knight', ' Arthur Shields']","['English', 'Bengali']",99,https://www.imdb.com/title/tt0043972/
The African Queen,7.8,1951,"['Humphrey Bogart', ' Katharine Hepburn', ' Robert Morley', ' Peter Bull']","['English', 'German', 'Swahili']",105,https://www.imdb.com/title/tt0043265/
People Will Talk,7.4,1951,"['Cary Grant', ' Jeanne Crain', ' Finlay Currie', ' Hume Cronyn']",['English'],110,https://www.imdb.com/title/tt0043915/
Singin' in the Rain,8.3,1952,"['Gene Kelly', ' Donald OConnor', ' Debbie Reynolds', ' Jean Hagen']",['English'],103,https://www.imdb.com/title/tt0045152/
In de greep van de angst,7.5,1952,"['Joan Crawford', ' Jack Palance', ' Gloria Grahame', ' Bruce Bennett']",['English'],110,https://www.imdb.com/title/tt0045205/
Klokslag 12,8.0,1952,"['Gary Cooper', ' Grace Kelly', ' Thomas Mitchell', ' Lloyd Bridges']","['English', 'Spanish']",85,https://www.imdb.com/title/tt0044706/
De laatste grens,7.3,1952,"['James Stewart', ' Rock Hudson', ' Arthur Kennedy', ' Julie Adams']",['English'],91,https://www.imdb.com/title/tt0044413/
The Crimson Pirate,7.3,1952,"['Burt Lancaster', ' Nick Cravat', ' Eva Bartok', ' Torin Thatcher']",['English'],105,https://www.imdb.com/title/tt0044517/
Tôkyô monogatari,8.2,1953,"['Chishû Ryû', ' Chieko Higashiyama', ' Sô Yamamura', ' Setsuko Hara']","['Japanese', 'English']",136,https://www.imdb.com/title/tt0046438/
The Band Wagon,7.5,1953,"['Fred Astaire', ' Cyd Charisse', ' Oscar Levant', ' Nanette Fabray']","['English', 'French', 'German']",112,https://www.imdb.com/title/tt0045537/
