title,year,rating,actors,duration,url
Kind Hearts and Coronets,1949,8.0,"['Dennis Price', ' Alec Guinness', ' Valerie Hobson', ' Joan Greenwood']",106,https://www.imdb.com/title/tt0041546/
Het is feest vandaag,1949,7.3,"['Jacques Tati', ' Guy Decomble', ' Paul Frankeur', ' Santa Relli']",70,https://www.imdb.com/title/tt0040497/
Adam's Rib,1949,7.5,"['Spencer Tracy', ' Katharine Hepburn', ' Judy Holliday', ' Tom Ewell']",101,https://www.imdb.com/title/tt0041090/
Geschonden glorie,1950,7.7,"['Gregory Peck', ' Helen Westcott', ' Millard Mitchell', ' Jean Parker']",85,https://www.imdb.com/title/tt0042531/
Paniek op straat,1950,7.3,"['Richard Widmark', ' Paul Douglas', ' Barbara Bel Geddes', ' Jack Palance']",96,https://www.imdb.com/title/tt0042832/
Born Yesterday,1950,7.6,"['Judy Holliday', ' William Holden', ' Broderick Crawford', ' Howard St John']",103,https://www.imdb.com/title/tt0042276/
Winchester '73,1950,7.6,"['James Stewart', ' Shelley Winters', ' Dan Duryea', ' Stephen McNally']",92,https://www.imdb.com/title/tt0043137/
Gun Crazy,1950,7.6,"['John Dall', ' Peggy Cummins', ' Berry Kroeger', ' Morris Carnovsky']",87,https://www.imdb.com/title/tt0042530/
Toen stond de aarde stil,1951,7.7,"['Michael Rennie', ' Patricia Neal', ' Hugh Marlowe', ' Sam Jaffe']",92,https://www.imdb.com/title/tt0043456/
Sommarlek,1951,7.5,"['MajBritt Nilsson', ' Birger Malmsten', ' Alf Kjellin', ' Annalisa Ericson']",96,https://www.imdb.com/title/tt0044060/
The River,1951,7.5,"['Patricia Walters', ' Nora Swinburne', ' Esmond Knight', ' Arthur Shields']",99,https://www.imdb.com/title/tt0043972/
The African Queen,1951,7.8,"['Humphrey Bogart', ' Katharine Hepburn', ' Robert Morley', ' Peter Bull']",105,https://www.imdb.com/title/tt0043265/
People Will Talk,1951,7.4,"['Cary Grant', ' Jeanne Crain', ' Finlay Currie', ' Hume Cronyn']",110,https://www.imdb.com/title/tt0043915/
Singin' in the Rain,1952,8.3,"['Gene Kelly', ' Donald OConnor', ' Debbie Reynolds', ' Jean Hagen']",103,https://www.imdb.com/title/tt0045152/
